Washington, 36, 38
Oregon, 34, 98
Idaho, 67, 24
Montana, 79, 24
Wyoming, 128, 102
California, 34, 142
Nevada, 74, 148
Arizona, 100, 226
Utah, 108, 164
Colorado, 148, 158
New Mexico, 152, 212
Texas, 184, 238
Oklahoma, 204, 198
North Dakota, 186, 50
South Dakota, 182, 82
Nebraska, 198, 122
Kansas, 214, 168
Arkansas, 260, 216
Missouri, 266, 168
Iowa, 256, 112
Minnesota, 242, 58
Wisconsin, 281, 76
Michigan, 325, 88
Michigan, 303, 36
Illinois, 287, 144
Indiana, 311, 144
Ohio, 343, 146
Pennsylvania, 411, 126
New York, 445, 78
Vermont, 479, 42
New Hampshire, 493, 70
Maine, 513, 34
Massachusetts, 489, 86
Connecticut, 479, 112
Rhode Island, 503, 106
New Jersey, 463, 134
Delaware, 447, 160
Maryland, 419, 156
West Virginia, 373, 162
Virginia, 403, 180
Kentucky, 333, 178
Tennessee, 319, 208
North Carolina, 411, 210
Louisiana, 273, 280
Mississippi, 291, 236
Alabama, 317, 244
Georgia, 353, 248
South Carolina, 379, 234
Florida, 365, 292
Hawaii, 125, 314
Alaska, 37, 274